area_type,availability,Location,society,Area,Bathroom,balcony,Price,Bhk
Super built-up  Area,Ready To Move,7th Phase JP Nagar,Eladero,1680.0,3.0,3.0,125.0,3
Super built-up  Area,Ready To Move,7th Phase JP Nagar,Brnia G,1460.0,2.0,1.0,97.0,3
Super built-up  Area,Ready To Move,7th Phase JP Nagar,Panorse,1100.0,3.0,1.0,60.0,2
Super built-up  Area,Ready To Move,7th Phase JP Nagar,Eladero,1790.0,3.0,3.0,120.0,3
Super built-up  Area,Ready To Move,7th Phase JP Nagar,Eladero,1680.0,3.0,2.0,117.0,3
Super built-up  Area,Ready To Move,7th Phase JP Nagar,Brnia G,1050.0,2.0,1.0,77.0,2
Super built-up  Area,Ready To Move,7th Phase JP Nagar,Brnia G,1050.0,2.0,1.0,75.0,2
Super built-up  Area,Ready To Move,7th Phase JP Nagar,Brnia G,1040.0,2.0,1.0,75.0,2
Super built-up  Area,Ready To Move,7th Phase JP Nagar,Brnia G,1400.0,2.0,1.0,95.0,3
Super built-up  Area,Ready To Move,7th Phase JP Nagar,BriumMi,1800.0,3.0,2.0,130.0,3
Super built-up  Area,Ready To Move,7th Phase JP Nagar,Brnia G,1050.0,2.0,0.0,68.0,2
Built-up  Area,Ready To Move,7th Phase JP Nagar,AiIIIpl,1000.0,2.0,2.0,60.0,2
Super built-up  Area,Ready To Move,7th Phase JP Nagar,Eladero,1680.0,3.0,2.0,125.0,3
Super built-up  Area,Ready To Move,7th Phase JP Nagar,Brnia G,1050.0,2.0,1.0,77.47,2
Super built-up  Area,Ready To Move,7th Phase JP Nagar,BriumMi,1270.0,2.0,1.0,80.0,2
Super built-up  Area,Ready To Move,7th Phase JP Nagar,Eladero,1680.0,3.0,2.0,122.0,3
Super built-up  Area,Ready To Move,7th Phase JP Nagar,Brnia G,1130.0,2.0,2.0,85.0,2
Super built-up  Area,Ready To Move,7th Phase JP Nagar,Eladero,1680.0,3.0,3.0,130.0,3
Built-up  Area,Ready To Move,7th Phase JP Nagar,Brnia G,980.0,2.0,1.0,77.44,2
Super built-up  Area,Ready To Move,7th Phase JP Nagar,Eladero,1680.0,3.0,2.0,112.0,3
Super built-up  Area,Ready To Move,7th Phase JP Nagar,Srncya ,1515.0,2.0,1.0,76.0,3
Super built-up  Area,19-Dec,7th Phase JP Nagar,Puarero,1976.0,3.0,1.0,145.0,3
Super built-up  Area,Ready To Move,7th Phase JP Nagar,Eladero,1600.0,2.0,2.0,110.0,3
Super built-up  Area,Ready To Move,7th Phase JP Nagar,Eladero,1765.0,3.0,2.0,118.0,3
Super built-up  Area,Ready To Move,7th Phase JP Nagar,BriumMi,1450.0,2.0,1.0,102.0,3
Super built-up  Area,Ready To Move,7th Phase JP Nagar,Eladero,1575.0,2.0,2.0,110.0,3
Built-up  Area,Ready To Move,7th Phase JP Nagar,LencyRe,1075.0,2.0,1.0,57.0,3
Super built-up  Area,Ready To Move,7th Phase JP Nagar,Brnia G,750.0,1.0,2.0,47.0,1
Super built-up  Area,Ready To Move,7th Phase JP Nagar,Brnia G,1430.0,2.0,1.0,102.0,3
Super built-up  Area,Ready To Move,7th Phase JP Nagar,Prhna S,1128.0,2.0,1.0,60.0,2
Super built-up  Area,18-May,8th Phase JP Nagar,Maian M,451.0,1.0,0.0,29.9,1
Super built-up  Area,Ready To Move,8th Phase JP Nagar,MBodsen,1062.0,2.0,1.0,42.47,2
Super built-up  Area,20-Mar,8th Phase JP Nagar,Vaarech,1455.0,3.0,2.0,73.31,3
Super built-up  Area,Ready To Move,8th Phase JP Nagar,i1rtsCo,871.0,2.0,2.0,55.0,2
Super built-up  Area,Ready To Move,8th Phase JP Nagar,MBodsen,1098.0,2.0,1.0,43.91,2
Super built-up  Area,Ready To Move,8th Phase JP Nagar,MBodsen,1062.0,2.0,1.0,42.47,2
Super built-up  Area,18-Jul,8th Phase JP Nagar,Maian M,500.0,1.0,1.0,31.0,1
Super built-up  Area,Ready To Move,8th Phase JP Nagar,MBodsen,909.0,2.0,1.0,40.9,2
Super built-up  Area,18-Jul,8th Phase JP Nagar,Maian M,500.0,1.0,1.0,30.0,1
Super built-up  Area,Ready To Move,8th Phase JP Nagar,Yaenti ,1605.0,2.0,2.0,65.0,3
Super built-up  Area,Ready To Move,8th Phase JP Nagar,GRhtsei,1504.0,2.0,2.0,83.0,3
Super built-up  Area,Ready To Move,8th Phase JP Nagar,MBodsen,1368.0,2.0,1.0,54.71,3
Super built-up  Area,Ready To Move,8th Phase JP Nagar,MBodsen,1089.0,2.0,1.0,43.55,2
Super built-up  Area,Ready To Move,8th Phase JP Nagar,MBodsen,1224.0,2.0,2.0,48.95,3
Super built-up  Area,Ready To Move,8th Phase JP Nagar,HMityld,1513.0,2.0,3.0,62.0,2
Built-up  Area,Ready To Move,8th Phase JP Nagar,SVthaho,1006.0,2.0,0.0,44.0,2
Carpet  Area,18-Jul,8th Phase JP Nagar,Maian M,500.0,1.0,1.0,33.0,1
Super built-up  Area,Ready To Move,8th Phase JP Nagar,HMityld,1510.0,2.0,3.0,80.0,2
Super built-up  Area,Ready To Move,8th Phase JP Nagar,MBodsen,1296.0,2.0,2.0,51.83,3
Super built-up  Area,18-Jun,8th Phase JP Nagar,Maian M,1046.0,2.0,1.0,48.0,2
Super built-up  Area,Ready To Move,8th Phase JP Nagar,MBodsen,1269.0,2.0,3.0,50.75,3
Super built-up  Area,19-Mar,8th Phase JP Nagar,Vaarech,1408.0,3.0,2.0,80.0,3
Super built-up  Area,Ready To Move,8th Phase JP Nagar,Yaenti ,1500.0,2.0,3.0,55.0,3
Super built-up  Area,Ready To Move,9th Phase JP Nagar,NaensGa,1005.0,2.0,1.0,50.0,2
Built-up  Area,Ready To Move,9th Phase JP Nagar,ImiteEl,1890.0,2.0,2.0,85.0,3
Built-up  Area,Ready To Move,9th Phase JP Nagar,NaensGa,1035.0,2.0,1.0,45.0,2
Super built-up  Area,Ready To Move,9th Phase JP Nagar,NaensGa,1005.0,2.0,1.0,42.0,2
Super built-up  Area,Ready To Move,9th Phase JP Nagar,NaensGa,1005.0,2.0,1.0,43.0,2
Built-up  Area,Ready To Move,9th Phase JP Nagar,NaensGa,835.0,2.0,0.0,37.0,2
Super built-up  Area,18-Mar,9th Phase JP Nagar,HMigond,1466.0,2.0,2.0,71.0,2
Super built-up  Area,21-Sep,9th Phase JP Nagar,Vasisvi,1480.0,2.0,1.0,80.0,2
Super built-up  Area,21-Sep,9th Phase JP Nagar,Vasisvi,1073.0,2.0,1.0,52.36,2
Super built-up  Area,Ready To Move,9th Phase JP Nagar,HMigond,1719.3,2.0,2.0,88.0,3
Super built-up  Area,18-Mar,9th Phase JP Nagar,HMigond,1780.0,3.0,2.0,88.0,3
Built-up  Area,Ready To Move,9th Phase JP Nagar,NaensGa,1300.0,2.0,2.0,58.0,3
Super built-up  Area,Ready To Move,9th Phase JP Nagar,JSyane ,1571.0,3.0,2.0,65.0,3
Built-up  Area,Ready To Move,9th Phase JP Nagar,NaensGa,890.0,2.0,2.0,45.0,2
Super built-up  Area,Ready To Move,9th Phase JP Nagar,HMigond,1331.95,2.0,2.0,69.0,2
Super built-up  Area,Ready To Move,AECS Layout,CMoryma,1199.0,2.0,2.0,65.0,2
Super built-up  Area,Ready To Move,AECS Layout,Srestve,1080.0,2.0,2.0,55.0,2
Super built-up  Area,Ready To Move,AECS Layout,CMhamai,1123.0,2.0,2.0,64.0,2
Super built-up  Area,Ready To Move,AECS Layout,Concyvi,1308.0,2.0,1.0,60.0,2
Super built-up  Area,Ready To Move,AECS Layout,CMard B,1005.0,2.0,1.0,55.0,2
Built-up  Area,Ready To Move,AECS Layout,Concyvi,2000.0,3.0,1.0,90.0,3
Super built-up  Area,Ready To Move,Abbigere,SLtias ,985.0,2.0,1.0,40.39,2
Super built-up  Area,Ready To Move,Abbigere,SLtias ,795.0,2.0,1.0,32.54,2
Super built-up  Area,Ready To Move,Abbigere,SLtias ,1005.0,2.0,1.0,39.59,2
Super built-up  Area,17-Nov,Abbigere,AdhriPa,1260.0,2.0,1.0,45.0,3
Super built-up  Area,Ready To Move,Abbigere,SLtias ,1020.0,2.0,1.0,41.82,2
Super built-up  Area,Ready To Move,Abbigere,SLtias ,985.0,2.0,1.0,40.39,2
Super built-up  Area,Ready To Move,Abbigere,SLtias ,795.0,2.0,1.0,32.54,2
Super built-up  Area,Ready To Move,Abbigere,SLtias ,1130.0,2.0,1.0,46.33,2
Super built-up  Area,Ready To Move,Abbigere,SLtias ,795.0,1.0,1.0,32.6,2
Super built-up  Area,Ready To Move,Abbigere,SLtias ,985.0,2.0,1.0,38.92,2
Super built-up  Area,Ready To Move,Abbigere,SLtias ,1000.0,2.0,1.0,41.0,2
Super built-up  Area,Ready To Move,Abbigere,SLtias ,995.0,2.0,1.0,40.8,2
Super built-up  Area,Ready To Move,Abbigere,SLtias ,1020.0,2.0,1.0,40.8,2
Built-up  Area,Ready To Move,Akshaya Nagar,DLhtsnd,1662.0,3.0,3.0,85.1,3
Super built-up  Area,Ready To Move,Akshaya Nagar,DLhtsnd,1897.0,3.0,2.0,120.0,3
Super built-up  Area,Ready To Move,Akshaya Nagar,DLhtsnd,1410.0,2.0,2.0,80.0,3
Built-up  Area,Ready To Move,Akshaya Nagar,DLhtsnd,1662.0,3.0,2.0,85.0,3
Built-up  Area,Ready To Move,Akshaya Nagar,DLhtsnd,1662.0,3.0,2.0,85.5,3
Super built-up  Area,Ready To Move,Akshaya Nagar,DLhtsnd,1430.0,2.0,2.0,75.0,3
Built-up  Area,Ready To Move,Akshaya Nagar,DLhtsnd,1419.0,2.0,3.0,73.0,3
Super built-up  Area,18-May,Akshaya Nagar,Suiumy ,1092.0,2.0,1.0,60.0,2
Super built-up  Area,Ready To Move,Akshaya Nagar,BMoldar,1700.0,3.0,1.0,80.0,3
Super built-up  Area,Ready To Move,Akshaya Nagar,DLhtsnd,1884.0,3.0,3.0,98.0,3
Super built-up  Area,Ready To Move,Akshaya Nagar,DLhtsnd,1314.0,2.0,2.0,68.8,2
Super built-up  Area,Ready To Move,Akshaya Nagar,DLhtsnd,1690.0,3.0,2.0,85.0,3
Super built-up  Area,Ready To Move,Akshaya Nagar,DLhtsnd,1265.0,2.0,3.0,67.0,2
Super built-up  Area,Ready To Move,Akshaya Nagar,DLhtsnd,2300.0,4.0,3.0,102.0,3
Super built-up  Area,Ready To Move,Akshaya Nagar,DLhtsnd,1420.0,2.0,2.0,75.0,3
Super built-up  Area,Ready To Move,Akshaya Nagar,DLhtsnd,1412.0,2.0,3.0,88.0,3
Built-up  Area,Ready To Move,Akshaya Nagar,DLhtsnd,1434.0,3.0,3.0,84.0,3
Super built-up  Area,Ready To Move,Akshaya Nagar,DLhtsnd,1419.0,2.0,3.0,87.0,3
Super built-up  Area,Ready To Move,Akshaya Nagar,DLhtsnd,1690.0,3.0,2.0,85.0,3
Super built-up  Area,Ready To Move,Akshaya Nagar,SagasSa,1100.0,2.0,2.0,48.0,2
Super built-up  Area,Ready To Move,Akshaya Nagar,DLhtsnd,1896.0,3.0,2.0,102.0,3
Super built-up  Area,Ready To Move,Akshaya Nagar,DLhtsnd,1300.0,2.0,2.0,66.0,2
Super built-up  Area,Ready To Move,Akshaya Nagar,DLhtsnd,1225.0,2.0,0.0,68.0,2
Super built-up  Area,Ready To Move,Akshaya Nagar,DLhtsnd,1421.0,2.0,2.0,73.0,3
Built-up  Area,Ready To Move,Akshaya Nagar,Baalp S,900.0,2.0,1.0,45.0,2
Super built-up  Area,Ready To Move,Ambalipura,SJarkte,1105.0,2.0,1.0,75.0,2
Built-up  Area,Ready To Move,Ambalipura,SJodsed,1150.0,2.0,2.0,80.0,2
Super built-up  Area,Ready To Move,Ambalipura,Dimes E,1332.0,2.0,1.0,79.0,2
Super built-up  Area,Ready To Move,Ambalipura,SJarkte,1730.0,3.0,1.0,120.0,3
Super built-up  Area,Ready To Move,Ambalipura,SJodsed,1351.0,2.0,1.0,77.0,2
Built-up  Area,Ready To Move,Ambalipura,SJodsed,2550.0,4.0,2.0,149.0,4
Super built-up  Area,Ready To Move,Ambalipura,Maorai ,1625.0,2.0,2.0,145.0,3
Super built-up  Area,Ready To Move,Ambalipura,Dimes E,1303.0,2.0,2.0,80.0,2
Super built-up  Area,Ready To Move,Ambalipura,Dimes E,1607.0,2.0,2.0,112.0,3
Super built-up  Area,Ready To Move,Ambalipura,SJodsed,1700.0,2.0,2.0,76.0,2
Super built-up  Area,Ready To Move,Ambalipura,Dimes E,1607.0,2.0,2.0,112.0,3
Super built-up  Area,Ready To Move,Ambedkar Nagar,SoechHa,1935.0,4.0,2.0,130.0,3
Super built-up  Area,Ready To Move,Ambedkar Nagar,SoechHa,1424.0,2.0,2.0,90.0,2
Super built-up  Area,Ready To Move,Ambedkar Nagar,SoechHa,2225.0,4.0,2.0,169.0,3
Super built-up  Area,Ready To Move,Ambedkar Nagar,SoechHa,1850.0,4.0,3.0,139.0,3
Super built-up  Area,Ready To Move,Ambedkar Nagar,SoechHa,1862.0,3.0,2.0,119.0,3
Super built-up  Area,Ready To Move,Ambedkar Nagar,SoechHa,1424.0,2.0,2.0,90.0,2
Super built-up  Area,Ready To Move,Ambedkar Nagar,SoechHa,2150.0,4.0,2.0,125.0,3
Built-up  Area,Ready To Move,Ambedkar Nagar,SoechHa,3530.0,4.0,2.0,290.0,4
Super built-up  Area,Ready To Move,Ambedkar Nagar,SoechHa,1852.0,3.0,2.0,130.0,3
Super built-up  Area,Ready To Move,Ambedkar Nagar,SoechHa,1850.0,4.0,2.0,120.0,3
Super built-up  Area,Ready To Move,Ambedkar Nagar,SoechHa,1367.0,2.0,2.0,86.0,2
Plot  Area,18-Dec,Ambedkar Nagar,Thessrm,3565.0,4.0,3.0,255.0,4
Super built-up  Area,Ready To Move,Ambedkar Nagar,SoechHa,1409.0,2.0,2.0,95.0,2
Super built-up  Area,Ready To Move,Ambedkar Nagar,SoechHa,1950.0,4.0,2.0,120.0,3
Super built-up  Area,Ready To Move,Ambedkar Nagar,SoechHa,1921.0,4.0,3.0,129.0,3
Super built-up  Area,Ready To Move,Ambedkar Nagar,SoechHa,1935.0,4.0,2.0,125.0,3
Super built-up  Area,Ready To Move,Ambedkar Nagar,SoechHa,1852.0,4.0,2.0,122.0,3
Super built-up  Area,Ready To Move,Ambedkar Nagar,SoechHa,1950.0,4.0,2.0,120.0,3
Super built-up  Area,Ready To Move,Ambedkar Nagar,SoechHa,1852.0,3.0,2.0,125.0,3
Super built-up  Area,Ready To Move,Ambedkar Nagar,SoechHa,1850.0,4.0,2.0,121.0,3
Super built-up  Area,Ready To Move,Ambedkar Nagar,SoechHa,1425.0,2.0,1.0,94.0,2
Built-up  Area,Ready To Move,Ambedkar Nagar,SoechHa,2395.0,4.0,2.0,150.0,3
Super built-up  Area,17-Jul,Anandapura,ViensRK,1167.0,2.0,1.0,43.76,2
Super built-up  Area,17-Jul,Anandapura,ViensRK,1141.0,2.0,1.0,42.79,2
Super built-up  Area,17-Jul,Anandapura,ViensRK,1576.0,3.0,2.0,59.1,3
Super built-up  Area,Ready To Move,Anandapura,ViensRK,1151.0,2.0,1.0,43.1,2
Super built-up  Area,Ready To Move,Anandapura,ViensRK,1141.0,2.0,1.0,42.75,2
Super built-up  Area,Ready To Move,Anandapura,ViensRK,1151.0,2.0,1.0,42.9,2
Super built-up  Area,Ready To Move,Anandapura,ViensRK,1576.0,3.0,2.0,58.0,3
Built-up  Area,Ready To Move,Anandapura,LoLeoen,1250.0,2.0,2.0,45.0,2
Super built-up  Area,17-Jul,Anandapura,ViensRK,1151.0,2.0,1.0,43.16,2
Super built-up  Area,Ready To Move,Anandapura,ViensRK,1576.0,3.0,2.0,58.7,3
Super built-up  Area,Ready To Move,Ardendale,SoystAm,1750.0,3.0,2.0,100.0,3
Built-up  Area,Ready To Move,Ardendale,AWharde,3198.0,4.0,3.0,200.0,4
Super built-up  Area,Ready To Move,Ardendale,AWharde,2422.0,4.0,2.0,160.0,4
Super built-up  Area,Ready To Move,Ardendale,SoystAm,1750.0,3.0,3.0,100.0,3
Plot  Area,Ready To Move,Ardendale,Aling10,3200.0,4.0,1.0,205.0,4
Super built-up  Area,Ready To Move,Ardendale,SoystAm,1728.0,3.0,2.0,95.0,3
Super built-up  Area,Ready To Move,Ardendale,SoystAm,1732.46,3.0,2.0,92.0,3
Super built-up  Area,Ready To Move,Ardendale,AWharde,1224.0,2.0,2.0,70.0,2
Super built-up  Area,Ready To Move,Ardendale,SoystAm,1777.26,3.0,2.0,105.0,3
Super built-up  Area,Ready To Move,Ardendale,Mahtsba,1650.0,3.0,3.0,82.0,3
Built-up  Area,Ready To Move,Ardendale,Mahtsba,1650.0,3.0,3.0,82.0,3
Super built-up  Area,Ready To Move,Ardendale,AWharde,1224.0,2.0,2.0,67.0,2
Super built-up  Area,Ready To Move,Ardendale,SoystAm,1723.0,3.0,2.0,95.0,3
Super built-up  Area,Ready To Move,Ardendale,SoystAm,1777.26,3.0,2.0,89.0,3
Super built-up  Area,Ready To Move,Ardendale,SoystAm,1777.26,3.0,2.0,92.0,3
Super built-up  Area,Ready To Move,Attibele,Jae 1hu,450.0,1.0,1.0,11.0,1
Built-up  Area,Ready To Move,Attibele,Natic T,1600.0,4.0,0.0,52.8,4
Built-up  Area,Ready To Move,Attibele,Jae 2hu,656.0,2.0,1.0,25.0,2
Built-up  Area,Ready To Move,Attibele,Jae 2hu,400.0,1.0,1.0,11.0,1
Built-up  Area,Ready To Move,Attibele,Jae 1hu,400.0,1.0,1.0,12.0,1
Built-up  Area,Ready To Move,Attibele,Jae 2hu,400.0,1.0,1.0,14.0,1
Super built-up  Area,Ready To Move,Attibele,Jae 1hu,500.0,1.0,1.0,17.0,1
Built-up  Area,Ready To Move,Attibele,Jae 1hu,395.0,1.0,1.0,10.25,1
Built-up  Area,Ready To Move,Attibele,Jae 1hu,420.0,1.0,1.0,17.0,1
Super built-up  Area,Ready To Move,Attibele,DSvar S,1639.0,2.0,1.0,40.98,3
Built-up  Area,Ready To Move,Attibele,Jae 1hu,418.0,1.0,1.0,12.0,1
Super built-up  Area,Ready To Move,Attibele,Jae 1hu,400.0,1.0,1.0,10.0,1
Super built-up  Area,Ready To Move,Attibele,Inenshe,695.0,1.0,1.0,25.0,2
Super built-up  Area,Ready To Move,Attibele,Inenshe,850.0,1.0,1.0,25.0,2
Built-up  Area,Ready To Move,Attibele,Jae 1hu,450.0,1.0,1.0,12.5,1
Super built-up  Area,Ready To Move,Attibele,DSvar S,995.0,1.0,1.0,24.88,2
Super built-up  Area,17-Sep,Attibele,Inenshe,900.0,1.0,1.0,25.0,2
Super built-up  Area,Ready To Move,Attibele,DSvar S,1174.0,2.0,1.0,29.35,2
Super built-up  Area,Ready To Move,Attibele,DSvar S,782.0,1.0,0.0,19.55,1
Super built-up  Area,Ready To Move,Attibele,DSvar S,1175.0,2.0,1.0,29.38,2
Super built-up  Area,Ready To Move,Attibele,Jae 2hu,656.0,2.0,1.0,25.0,2
Built-up  Area,Ready To Move,Attibele,Jae 2hu,400.0,1.0,1.0,11.5,1
Carpet  Area,Ready To Move,Attibele,Jae 1hu,460.0,1.0,1.0,13.0,1
Super built-up  Area,Ready To Move,Attibele,Jae 1hu,418.0,2.0,1.0,11.5,1
Super built-up  Area,Ready To Move,Attibele,Jae 1hu,550.0,1.0,1.0,11.5,1
Super built-up  Area,Ready To Move,Attibele,DSvar S,996.0,2.0,1.0,24.9,2
Super built-up  Area,Ready To Move,Attibele,Jae 2hu,400.0,1.0,1.0,10.25,1
Super built-up  Area,Ready To Move,Attibele,Jae 2hu,656.0,2.0,1.0,25.0,2
Built-up  Area,Ready To Move,Attibele,Jae 1hu,520.0,1.0,1.0,15.0,1
Carpet  Area,Ready To Move,BTM 2nd Stage,Jancyva,950.0,2.0,1.0,52.0,2
Super built-up  Area,Ready To Move,BTM 2nd Stage,Crentt ,1200.0,2.0,2.0,80.0,2
Super built-up  Area,Ready To Move,BTM 2nd Stage,NDclenn,1274.0,2.0,2.0,70.0,2
Super built-up  Area,Ready To Move,BTM 2nd Stage,Rencyes,1070.0,2.0,1.0,48.0,2
Built-up  Area,Ready To Move,BTM 2nd Stage,MaeamSu,1280.0,2.0,2.0,80.0,2
Built-up  Area,Ready To Move,BTM 2nd Stage,Komesa ,1100.0,2.0,2.0,70.0,2
Super built-up  Area,Ready To Move,BTM 2nd Stage,Vincyat,1000.0,2.0,2.0,58.0,2
Super built-up  Area,Ready To Move,BTM 2nd Stage,Jancyva,1265.0,2.0,2.0,55.0,2
Super built-up  Area,Ready To Move,BTM 2nd Stage,Vincyat,965.0,2.0,2.0,56.0,2
Super built-up  Area,Ready To Move,BTM 2nd Stage,MaeamSu,1147.0,2.0,1.0,75.0,2
Super built-up  Area,Ready To Move,BTM 2nd Stage,Catle C,1400.0,2.0,3.0,90.0,2
Super built-up  Area,Ready To Move,BTM 2nd Stage,Chaldi ,1200.0,2.0,2.0,70.0,2
Super built-up  Area,Ready To Move,BTM 2nd Stage,Jancyva,1265.0,2.0,3.0,55.0,3
Super built-up  Area,20-Jan,Badavala Nagar,DNncasa,1494.0,2.0,2.0,94.55,3
Super built-up  Area,20-Jan,Badavala Nagar,DNncasa,1274.0,2.0,1.0,81.0,2
Super built-up  Area,20-Jan,Badavala Nagar,DNncasa,1842.0,3.0,2.0,115.0,3
Super built-up  Area,Ready To Move,Badavala Nagar,DNncasa,1494.0,2.0,2.0,94.55,3
Super built-up  Area,20-Jan,Badavala Nagar,DNncasa,1274.0,2.0,1.0,81.0,2
Super built-up  Area,20-Jan,Badavala Nagar,DNncasa,1494.0,2.0,2.0,94.55,3
Super built-up  Area,20-Jan,Badavala Nagar,DNncasa,1842.0,3.0,2.0,115.0,3
Super built-up  Area,20-Jan,Badavala Nagar,DNncasa,1842.0,3.0,2.0,115.0,3
